0.999999925769012+0i,4.21443549106744e-05+2.62867847429017e-07i,-0.000123028566721442+-1.20495354966755e-07i,0.000362697823614874+0i
0.999999703287143+7.56997906883813e-11i,7.88484628719165e-05+5.74126931347916e-07i,-0.000234115765144343+-1.2765155887898e-07i,0.000729656089188086+1.79723895692737e-11i
0.999999330934131+2.03599987528748e-10i,0.000118169183386144+9.34745231346833e-07i,-0.000345138422796815+-1.48695969425175e-08i,0.00109774584010888+7.52521851159083e-11i
0.999998806073906+3.6264335089269e-10i,0.00016244188049644+1.34379777966682e-06i,-0.000460497372892143+2.24342114769149e-07i,0.00146608448321909+1.91971112277292e-10i
0.999998130669169+5.33077812469336e-10i,0.000203297802584227+1.80118467191886e-06i,-0.000571614701097771+5.94884732054348e-07i,0.00183591426963662+3.73813387303261e-10i
0.999997295744408+6.91343230798695e-10i,0.00024719186160547+2.30368306031591e-06i,-0.000685492787800476+1.09639904761049e-06i,0.00220850473941833+6.37900721489884e-10i
0.999996316573308+8.3226571155832e-10i,0.000290249981425927+2.84714358643344e-06i,-0.00080265090955635+1.72757064217488e-06i,0.00257649668970916+1.02288327923531e-09i
0.999995180245597+9.16680145385555e-10i,0.000336039434531785+3.43140393707044e-06i,-0.000920036218537915+2.49303336579557e-06i,0.00294619728487907+1.51644397013419e-09i
0.999993893205056+9.43851484266975e-10i,0.000378790575897858+4.05741731291504e-06i,-0.00103707347956703+3.40178527403725e-06i,0.00331579867552946+2.15685658550246e-09i
0.999992449894253+8.8096418239117e-10i,0.000419142033887551+4.7229013227983e-06i,-0.00115465144267555+4.45768048793327e-06i,0.00368662614265691+2.9103072451985e-09i
0.99999085353931+7.12536036802105e-10i,0.000458529452009329+5.42780289545174e-06i,-0.00127335189256669+5.66635197669886e-06i,0.00405722834619429+3.90165913037291e-09i
0.999989115096748+4.23262491583337e-10i,0.000491944773965039+6.16965403976469e-06i,-0.00138951415409908+7.02797138715848e-06i,0.00442683197331376+5.06673696997451e-09i
