-0.680597735060806+-0.586574112584459i,-0.831250908790436+0.407439174233374i,0.279275762041064+-0.0437010543410976i
-0.695558519317843+-0.567745526214255i,-0.8204139750574+0.428803996966323i,0.278151663940129+-0.0501529796407106i
-0.708780295374941+-0.548085404777861i,-0.810414085070961+0.451111985405668i,0.277152412719111+-0.0568782726897559i
-0.723285440761691+-0.528187374814022i,-0.800770484990221+0.473689239781128i,0.276395670355803+-0.0636968866123116i
-0.73941803442018+-0.508943375356708i,-0.790425777476098+0.495528302723487i,0.275715558812217+-0.0703217767839185i
-0.754590569070001+-0.489917054128053i,-0.779364455531005+0.517116859794166i,0.274823568784002+-0.076872739354593i
-0.768137839008181+-0.470061867367086i,-0.768587120413578+0.539643836893292i,0.273800171179938+-0.0836359832777721i
-0.782355830338495+-0.449545902347386i,-0.758292373563642+0.562921378319004i,0.273034371880899+-0.0905615408834256i
-0.798248084271223+-0.429422753891542i,-0.747772612337578+0.585754795986188i,0.272458529325867+-0.0973581126183446i
-0.813817774685919+-0.40967778450057i,-0.736430069552975+0.608148265944779i,0.271747589666916+-0.104098604169463i
-0.827802442550082+-0.389194308136921i,-0.724832355105371+0.63136129710734i,0.270898988418833+-0.111103282042073i
-0.842021800523851+-0.367665188442831i,-0.713603476248019+0.655749318952532i,0.270219600492198+-0.118417664088263i
-0.858009856244418+-0.346118445404663i,-0.702390138638427+0.68016322500165i,0.269716362037676+-0.125669507983634i
-0.874289592333693+-0.324985057759722i,-0.690466967737274+0.704090803477115i,0.269198090280425+-0.132799155272548i
-0.889127537951344+-0.303260429272857i,-0.6778597107098+0.728652368400019i,0.268477963259533+-0.140235490010072i
-0.903718736513208+-0.280201382661102i,-0.665337082006113+0.754696481779818i,0.267870095132168+-0.148171068643027i
-0.920081621926047+-0.256610338539042i,-0.652955835742288+0.781355333344324i,0.267513088915682+-0.156168528392554i
-0.93736690159563+-0.233328011570349i,-0.640054876485316+0.807675356001604i,0.267116711261137+-0.163975724604341i
-0.953457875950747+-0.209593283285962i,-0.626220368831579+0.834467230734259i,0.266534562363026+-0.172001678877435i
-0.968896809869789+-0.184294388241127i,-0.612011621473115+0.862983605084002i,0.265968367956719+-0.180693979028635i
-0.985994720832179+-0.157846139313388i,-0.597908181516681+0.892774812651352i,0.265671307853497+-0.189820019786466i
-1.00465677890582+-0.131391429665924i,-0.583388603780981+0.922594225127854i,0.265457322000098+-0.198862057685835i
-1.02257871531954+-0.104512372410656i,-0.56778964829681+0.952824089168035i,0.265041213256884+-0.208044593108232i
-1.03949706005192+-0.0758520042211504i,-0.551316256598048+0.985024710799924i,0.264479925574953+-0.217929455692425i
-1.05789461860045+-0.0452970024397072i,-0.534655143465003+1.01929321598258i,0.264222155685606+-0.228600168489769i
-1.07847457769977+-0.0141460661710675i,-0.517627627584419+1.05424378955522i,0.26422058888369+-0.239481070848809i
-1.09890402111952+0.0175251223161693i,-0.499397509801308+1.08976197849107i,0.264018976331747+-0.250489413741672i
-1.11811133680176+0.051275369353812i,-0.47980936531979+1.12760663070043i,0.263578323656847+-0.262251524721384i
-1.13854420270685+0.0878294049546593i,-0.459525425815823+1.16856406295635i,0.263309445308213+-0.275118705752202i
-1.16188565212464+0.125998564829612i,-0.438683800412464+1.21127673618767i,0.26347731164192+-0.288698654330936i
-1.18585969013899+0.165195346779976i,-0.416398926364883+1.25514295886821i,0.263535883298669+-0.302659370620249i
-1.20856836364025+0.207140302254979i,-0.392063652547475+1.30207553259165i,0.263246244984785+-0.31758478102128i
-1.23242912691529+0.253304929674053i,-0.366177470863185+1.35372944137877i,0.263024102603149+-0.334065030496113i
-1.26000328886512+0.302758878472609i,-0.339197796215849+1.40903378641428i,0.263280240695581+-0.351883422606865i
-1.28930861867795+0.354623722968365i,-0.310188354846293+1.4669580400438i,0.263537628687295+-0.370785020024297i
-1.31750843838201+0.41096146842138i,-0.27785390709964+1.52981087676223i,0.26333155955617+-0.391406836263295i
-1.34716570248827+0.474405968259784i,-0.242425744288894+1.60059671071686i,0.263103513305447+-0.414576626755821i
-1.3821907830712+0.544627076577306i,-0.204451767127986+1.67887708793779i,0.263472871153301+-0.440334511582688i
-1.42031940062771+0.620800389249625i,-0.162854788184281+1.76384485883297i,0.263879321401155+-0.468480224844582i
-1.45760847081675+0.70677953686916i,-0.115037086319363+1.85985044016862i,0.263569801663683+-0.500403800088726i
-1.49869239981623+0.808248977373005i,-0.0605009285478605+1.97345097825146i,0.263245641520417+-0.53784676410377i
-1.55012203557776+0.926573610733075i,0.000272076185384395+2.10633898799588i,0.263825927334766+-0.581517460445283i
-1.60493388679787+1.06612799394202i,0.0724642483937755+2.26324977370513i,0.263827945870476+-0.633376016287813i
-1.66237148640323+1.25135876586437i,0.165226259163311+2.47163954651731i,0.262556026733247+-0.70239087053547i
-1.78596323034255+1.52107817835236i,0.271974139107641+2.7754385179503i,0.269931103398108+-0.802718991638735i
-2.12194260972687+1.88070803638315i,0.353664959854029+3.18136867484841i,0.310997014725243+-0.936052154699117i
-2.82041159760229+2.25210852325229i,0.337526621263829+3.60275047147365i,0.414836202413772+-1.07236896196509i
-3.84777692152148+2.49031509391325i,0.22403682429508+3.8765519777293i,0.581197469665305+-1.15854906589421i
