time,x,y,z
0,0.387653434,-9.478308289,2.979172767
0,0.39723241,-9.40651906,2.967214984
0,0.409209748,-9.401729295,2.919368577
0,0.404442491,-9.416081303,2.861955104
0,0.435573819,-9.358645433,2.869155029
0,0.433209956,-9.389743551,2.883540026
0,0.435635862,-9.337090358,2.917070421
0,0.414137945,-9.451938808,2.90753329
0,0.423745917,-9.303565041,2.972177143
0,0.409434431,-9.451910132,2.991366651
0,0.431017099,-9.29874782,2.969874829
0,0.380822046,-9.408804777,3.003427876
0,0.39524316,-9.40160341,3.056130938
0,0.407276347,-9.39440033,3.053807152
0,0.416931667,-9.540347353,2.943818014
0,0.383504376,-9.43982033,2.960636501
0,0.42665491,-9.339289637,2.965498939
0,0.3860688,-9.401472367,3.025412738
0,0.419663669,-9.348799437,2.958507439
0,0.508304681,-9.329618321,2.929902799
0,0.460555427,-9.334364575,2.980262905
0,0.419995907,-9.465940256,2.968421244
0,0.417695849,-9.365395961,2.992449385
0,0.393881683,-9.382106615,2.994960374
0,0.393987862,-9.341386617,2.968761748
0,0.42285003,-9.434654365,2.992855611
0,0.46606408,-9.456137783,2.983441736
0,0.470973984,-9.398657241,3.007491482
0,0.365815023,-9.350778069,2.940599777
0,0.444967032,-9.496665673,2.991067201
0,0.536055276,-9.513357444,2.941007427
0,0.514666851,-9.530042025,2.996203489
0,0.488501272,-9.573060023,3.010723127
0,0.440774916,-9.522767159,3.001278929
0,0.39303566,-9.386330372,2.989418099
0,0.378859367,-9.395856689,2.948915704
0,0.422114086,-9.393401466,2.910840435
0,0.412742107,-9.424433686,2.951715273
0,0.412868748,-9.26882799,2.96619401
0,0.389135495,-9.275997942,2.834775527
0,0.384597032,-9.405105468,2.925969558
0,0.384767635,-9.357178707,2.923758997
0,0.406478244,-9.299667556,2.938296255
0,0.432962722,-9.220612774,2.948062235
0,0.445242705,-9.397592622,2.953193272
0,0.536405622,-9.399881946,2.924783639
0,0.488814244,-9.495552962,2.884366885
0,0.474611557,-9.402131525,2.932380611
0,0.45082392,-9.282416481,2.925350942
0,0.451110031,-9.366020162,3.011811722
0,0.458535636,-9.375513578,2.978593136
0,0.415714879,-9.392205154,2.957293536
0,0.387269778,-9.415999094,3.029347278
0,0.425795517,-9.382455259,2.929127216
0,0.392530173,-9.339268136,2.960473919
0,0.39268845,-9.181174904,3.006160974
0,0.416929719,-9.212197033,2.941943382
0,0.374038735,-9.111637603,2.911006347
0,0.309588304,-8.979958743,2.906345406
0,0.336102841,-8.857755328,2.923363662
0,0.345852762,-8.706833883,2.930806484
0,0.219332657,-8.680448364,2.919107357
0,0.200464139,-8.610935153,2.883560266
0,0.128927403,-8.493522937,2.910150574
0,0.03824688,-8.347425498,2.912804787
0,-0.045155101,-8.261270744,2.795965709
0,-0.178908999,-8.081798721,2.724454609
0,-0.444016887,-8.069888285,2.739191287
0,-0.603915298,-7.972033899,2.560175894
0,-0.758795856,-8.020045264,2.477179371
0,-0.99495919,-8.077803974,2.42286083
0,-1.36737627,-8.176730411,2.318332376
0,-1.436377834,-7.940444075,2.058349318
0,-1.920492419,-8.389053808,2.103357672
0,-1.971830516,-8.63824068,2.076966417
0,-2.309206138,-8.211922321,1.919056705
0,-2.577586523,-7.623681044,1.564726329
0,-3.097886017,-7.802328975,1.349273283
0,-3.539405712,-8.852470784,1.685970534
0,-3.922324482,-9.305682955,1.784239074
0,-4.125384346,-8.982251421,1.604204808
0,-4.47787556,-8.249822954,1.357031701
0,-5.027310061,-8.121520163,1.390235958
0,-5.467006063,-8.76002724,1.583755737
0,-5.812703661,-8.774234296,1.438760356
0,-6.114809683,-8.131741734,1.313217771
0,-6.514141217,-7.820881942,1.333120945
0,-6.840450126,-7.076904944,1.194438916
0,-7.304181832,-6.689231717,1.273803837
0,-7.757401286,-6.531988119,1.20724985
0,-8.110778507,-5.988365843,0.920345045
0,-8.584278668,-5.957834649,0.79411947
0,-9.331026445,-6.351072239,1.610818367
0,-10.37830688,-6.47836442,2.114890923
0,-10.64083231,-5.784887227,1.483547698
0,-11.04419427,-5.915506747,1.193863234
0,-10.89816535,-6.756373522,1.241765823
0,-10.92163018,-7.142985514,1.653172569
0,-11.08818471,-6.53606243,1.784428912
0,-10.6674686,-5.756279434,1.759991504
0,-10.56363186,-5.271133966,1.894686361
0,-10.42290625,-5.257818699,2.101273714
0,-10.02923607,-5.234254508,1.959067773
0,-9.857510155,-5.429335093,1.788647669
0,-9.674142888,-4.931608476,1.570023765
0,-9.685526431,-4.179059672,1.498961066
0,-9.459587035,-3.604562011,1.3738213
0,-9.067712412,-3.785598913,1.112357148
0,-9.271800039,-4.069810679,1.161141101
0,-9.221704119,-3.847372632,1.230240117
0,-9.501800849,-3.61228288,0.855467224
0,-9.625168061,-3.062906572,0.666462557
0,-9.689309575,-2.843933447,0.702061616
0,-9.736814374,-2.99819359,0.79839639
0,-9.592037232,-2.632356007,0.613374779
0,-9.580128615,-2.919081707,0.424813534
0,-9.501780415,-2.977996887,0.627147142
0,-9.537590051,-2.672735387,0.797750135
0,-9.475987182,-2.424798472,0.672245223
0,-9.452211206,-2.627508526,0.695465611
0,-9.513919198,-2.821772733,0.905632857
0,-9.577974339,-2.908722758,0.752966875
0,-9.682403121,-2.788112264,0.783563424
0,-9.523164705,-2.907025806,0.90551274
0,-9.622800186,-3.057877345,0.881053768
0,-9.556212325,-3.137282183,0.947907503
0,-9.575130024,-3.19809589,0.967023604
0,-9.499069709,-3.104585166,0.99015747
0,-9.601102564,-3.107293542,1.034949012
0,-9.46566409,-3.240611129,1.085644731
0,-9.534479202,-3.454519469,1.043233741
0,-9.460852544,-3.37275086,1.186215465
0,-9.515542534,-3.368926463,1.037167572
0,-9.50852426,-3.352940236,1.102681465
0,-9.491998422,-3.354471813,0.969871178
0,-9.55851027,-3.312879353,0.834239547
0,-9.45885997,-3.381966592,1.056045904
0,-9.504037354,-3.29297612,1.115613205
0,-9.482724734,-3.140605205,0.85076169
0,-9.454371837,-3.22585155,0.920326732
0,-9.423646336,-3.319026083,1.064212646
0,-9.551919074,-3.30543424,1.135281174
0,-9.487716892,-3.139656832,1.099372153
0,-9.364276453,-3.117971388,0.946331908
0,-9.514126547,-3.371678163,0.998865478
0,-9.552187808,-3.408435554,1.063251962
0,-9.457124285,-3.278161771,0.965742096
0,-9.476053182,-3.205994121,0.860520632
0,-9.492816742,-3.30007953,0.968938385
0,-9.376698671,-3.395919876,0.89492226
0,-9.455099251,-3.387904044,0.923105172
0,-9.460140057,-3.520303835,0.97750785
0,-9.389021525,-3.510094703,0.973501908
0,-9.415077618,-3.422670739,1.042690286
0,-9.41257249,-3.313121212,1.082503814
0,-9.39588484,-3.264576618,1.123438455
