time,x,y,z
0,-9.440022619,-2.986348952,1.598465216
0,-9.480703557,-2.950454074,1.502757207
0,-9.440027912,-2.948059142,1.519522303
0,-9.423282932,-3.034201307,1.529114695
0,-9.432861015,-3.010270586,1.605713675
0,-9.377830614,-2.902587333,1.612921908
0,-9.459198205,-2.900190446,1.60578227
0,-9.454423542,-3.003080832,1.620186217
0,-9.447257346,-3.089220768,1.62741645
0,-9.430517635,-3.041359648,1.596359826
0,-9.454458131,-2.919314047,1.605986501
0,-9.444899456,-2.878631558,1.543834583
0,-9.430562815,-3.0317721,1.524770643
0,-9.401868391,-3.079618271,1.632530208
0,-9.397098645,-3.02936093,1.618248946
0,-9.452148589,-2.904924343,1.592006371
0,-9.421061024,-2.892960191,1.465275756
0,-9.428272562,-3.031733976,1.530002748
0,-9.370871114,-3.084364279,1.585150203
0,-9.399608472,-3.038891621,1.544581132
0,-9.442698596,-2.935994257,1.475300315
0,-9.41161813,-2.916825711,1.542429235
0,-9.414059969,-3.06756495,1.573700249
0,-9.409318218,-3.141725005,1.612143724
0,-9.385408524,-3.026848837,1.638591657
0,-9.399796319,-2.99333953,1.598063839
0,-9.41180051,-3.0076909,1.562344022
0,-9.411861026,-3.127317903,1.564937628
0,-9.48847057,-3.098573575,1.612982284
0,-9.411919516,-3.007642687,1.55090807
0,-9.435886647,-2.983687134,1.582201629
0,-9.467033391,-2.962118392,1.625473098
0,-9.347447425,-3.021909425,1.640022519
0,-9.404939167,-3.079335275,1.56847405
0,-9.428912804,-3.067334162,1.61414761
0,-9.433710568,-2.945271644,1.631067079
0,-9.390701331,-2.990709463,1.633685253
0,-9.460188154,-3.115132996,1.617233534
0,-9.436318488,-3.134246712,1.634213597
0,-9.52493011,-3.189271932,1.586650013
0,-9.529785591,-3.203601516,1.539086842
0,-9.364800349,-3.347070359,1.58964027
0,-9.434228561,-3.263243383,1.57557834
0,-9.343418732,-3.370813745,1.599844592
0,-9.372169555,-3.284561127,1.576213962
0,-9.324356058,-3.227005699,1.588436725
0,-9.360328825,-3.246018957,1.610303245
0,-9.324437887,-3.126271884,1.615281741
0,-9.343628348,-3.092706065,1.591626925
0,-9.35797191,-2.958662505,1.553541723
0,-9.350911964,-3.047114552,1.587393204
0,-9.396523212,-3.171465219,1.614134091
0,-9.42304187,-3.355589997,1.674432086
0,-9.430556864,-3.723921108,1.768400443
0,-9.567276389,-4.049136581,1.802656037
0,-9.478902978,-4.130205141,1.798304119
0,-9.495910726,-4.318667988,1.921020407
0,-9.467624075,-4.695922712,2.099034803
0,-9.353218324,-5.070560362,2.324934297
0,-9.358343827,-5.30654639,2.270864808
0,-9.392108662,-5.456412021,2.030149454
0,-9.255963417,-5.591579847,1.930533312
0,-9.227608372,-5.855318069,2.029922555
0,-9.101124278,-6.092513463,2.081506465
0,-9.099070929,-6.322530986,1.855861841
0,-8.922370226,-6.605029869,1.656647539
0,-8.939492771,-6.888980848,1.606134383
0,-8.844097984,-7.117557355,1.560373751
0,-8.803647211,-7.26864739,1.588847338
0,-8.746456927,-7.457303741,1.646277989
0,-8.464295267,-7.620014117,1.61267044
0,-8.349451111,-7.66824136,1.806375937
0,-8.14399917,-8.006195371,1.824286939
0,-7.875875049,-8.026704854,1.649624225
0,-7.442147112,-7.705217028,1.688546576
0,-6.899033749,-7.941091152,1.878441642
0,-6.604841891,-8.314454023,1.945143028
0,-6.422881263,-8.608188786,1.95658609
0,-6.092466761,-8.833833543,2.036813555
0,-5.691735881,-8.433566703,1.868807731
0,-5.166969973,-8.272916905,1.943993585
0,-4.688766089,-8.948407482,2.06606176
0,-4.341359933,-9.167141277,2.07260969
0,-3.849961197,-8.913919082,2.084832934
0,-3.296476026,-8.589209413,2.096238872
0,-2.968073047,-8.67277447,2.010475762
0,-2.525298726,-8.887855534,2.005015689
0,-1.931700247,-8.506829261,2.224065093
0,-1.273615041,-7.748480678,2.36761854
0,-0.991112353,-7.852213055,2.334311092
0,-0.775152002,-7.50964654,2.239199151
0,-0.046751584,-7.464047437,2.202486343
0,-0.114848137,-7.300699425,2.395227237
0,0.281883449,-7.047823002,2.537665121
0,0.730880357,-6.510439076,2.574614331
0,0.974626517,-6.709962189,2.41782283
0,1.063509457,-7.038025908,2.479703593
0,1.142835028,-7.055926459,2.57414486
0,1.229338457,-7.193349585,2.657870051
0,1.313560926,-7.584929618,2.57928375
0,1.293098439,-8.113628385,2.697998134
0,1.058360327,-8.66783966,2.86402093
0,1.259513572,-8.980167203,2.815474592
0,1.172156029,-8.913667543,2.752303186
0,1.194604363,-9.243432643,2.720394615
0,0.995802124,-10.00086181,2.747740473
0,1.094411778,-10.27279832,2.782880393
0,1.123491526,-10.06642344,2.781411815
0,1.323972866,-9.69719199,2.726059878
0,1.291497948,-9.823526884,2.809384741
0,1.335070663,-9.769400905,2.84809281
0,1.271388532,-9.656426766,2.928796103
0,1.3362623,-9.476276744,2.803546579
0,1.310754943,-9.398904267,2.796347772
0,1.306612144,-9.28833172,2.82503069
0,1.214367652,-9.306809408,2.759698068
0,1.167507189,-9.471801737,2.70165662
0,1.20616902,-9.551181979,2.660149775
0,1.137568125,-9.594084581,2.593563257
0,1.161974149,-9.583946745,2.477951898
0,1.102546087,-9.295418837,2.510606041
0,1.110264721,-9.203678361,2.610181012
0,0.965546203,-9.178774834,2.667035886
0,0.928242296,-9.289676041,2.626086365
0,1.033990101,-9.450458926,2.59152406
0,1.099151956,-9.569692071,2.541716231
0,1.021036128,-9.537693966,2.579875679
0,1.116332193,-9.280316401,2.630320249
0,1.052839729,-9.374764239,2.682295487
0,1.20585697,-9.348996799,2.650325251
