epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1533078194239,2018-07-31T16:03:14.239,7.771,0.000,-0.000,-0.000
1533078194239,2018-07-31T16:03:14.239,7.771,0.000,-0.000,-0.000
1533078194538,2018-07-31T16:03:14.538,8.070,0.000,-0.000,-0.000
1533078194538,2018-07-31T16:03:14.538,8.070,0.000,-0.000,-0.000
1533078194538,2018-07-31T16:03:14.538,8.070,0.000,-0.000,-0.000
1533078194868,2018-07-31T16:03:14.868,8.400,0.000,-0.000,-0.000
1533078194868,2018-07-31T16:03:14.868,8.400,0.000,-0.000,-0.000
1533078194868,2018-07-31T16:03:14.868,8.400,0.000,-0.000,-0.000
1533078195138,2018-07-31T16:03:15.138,8.670,0.000,-0.000,-0.000
1533078195138,2018-07-31T16:03:15.138,8.670,0.000,-0.000,-0.000
1533078195138,2018-07-31T16:03:15.138,8.670,0.000,-0.000,-0.000
1533078195438,2018-07-31T16:03:15.438,8.970,0.000,-0.000,-0.000
1533078195438,2018-07-31T16:03:15.438,8.970,0.000,-0.000,-0.000
1533078195438,2018-07-31T16:03:15.438,8.970,0.000,-0.000,-0.000
1533078195738,2018-07-31T16:03:15.738,9.270,0.000,-0.000,-0.000
1533078195738,2018-07-31T16:03:15.738,9.270,0.000,-0.000,-0.000
1533078195738,2018-07-31T16:03:15.738,9.270,0.000,-0.000,-0.000
1533078196038,2018-07-31T16:03:16.038,9.570,0.000,-0.000,-0.000
1533078196038,2018-07-31T16:03:16.038,9.570,0.000,-0.000,-0.000
1533078196038,2018-07-31T16:03:16.038,9.570,0.000,-0.000,-0.000
1533078196338,2018-07-31T16:03:16.338,9.870,0.000,-0.000,-0.000
1533078196338,2018-07-31T16:03:16.338,9.870,0.000,-0.000,-0.000
1533078196338,2018-07-31T16:03:16.338,9.870,0.000,-0.000,-0.000
1533078196639,2018-07-31T16:03:16.639,10.171,0.000,-0.000,-0.000
1533078196639,2018-07-31T16:03:16.639,10.171,0.000,-0.000,-0.000
1533078196639,2018-07-31T16:03:16.639,10.171,0.000,-0.000,-0.000
1533078196938,2018-07-31T16:03:16.938,10.470,0.000,-0.000,-0.000
1533078196938,2018-07-31T16:03:16.938,10.470,0.000,-0.000,-0.000
1533078196938,2018-07-31T16:03:16.938,10.470,0.000,-0.000,-0.000
1533078197238,2018-07-31T16:03:17.238,10.770,0.000,-0.000,-0.000
1533078197238,2018-07-31T16:03:17.238,10.770,0.000,-0.000,-0.000
1533078197238,2018-07-31T16:03:17.238,10.770,0.000,-0.000,-0.000
1533078197538,2018-07-31T16:03:17.538,11.070,0.000,-0.000,-0.000
1533078197538,2018-07-31T16:03:17.538,11.070,0.000,-0.000,-0.000
1533078197538,2018-07-31T16:03:17.538,11.070,0.000,-0.000,-0.000
1533078197838,2018-07-31T16:03:17.838,11.370,0.000,-0.000,-0.000
1533078197838,2018-07-31T16:03:17.838,11.370,0.000,-0.000,-0.000
1533078197838,2018-07-31T16:03:17.838,11.370,0.000,-0.000,-0.000
1533078198139,2018-07-31T16:03:18.139,11.671,-0.000,-0.000,-0.000
1533078198139,2018-07-31T16:03:18.139,11.671,-0.000,-0.000,-0.000
1533078198139,2018-07-31T16:03:18.139,11.671,-0.000,0.000,-0.000
1533078198438,2018-07-31T16:03:18.438,11.970,-0.000,0.000,-0.000
1533078198438,2018-07-31T16:03:18.438,11.970,-0.000,-0.000,-0.000
1533078198438,2018-07-31T16:03:18.438,11.970,-0.000,-0.000,-0.000
1533078198738,2018-07-31T16:03:18.738,12.270,-0.000,-0.000,-0.000
1533078198738,2018-07-31T16:03:18.738,12.270,-0.000,-0.000,-0.000
1533078198738,2018-07-31T16:03:18.738,12.270,-0.000,-0.000,-0.000
1533078199038,2018-07-31T16:03:19.038,12.570,-0.000,-0.000,-0.000
1533078199038,2018-07-31T16:03:19.038,12.570,-0.000,-0.000,-0.000
1533078199038,2018-07-31T16:03:19.038,12.570,-0.000,-0.000,-0.000
1533078199338,2018-07-31T16:03:19.338,12.870,-0.000,-0.000,-0.000
1533078199338,2018-07-31T16:03:19.338,12.870,-0.000,-0.000,-0.000
1533078199338,2018-07-31T16:03:19.338,12.870,-0.000,-0.000,-0.000
1533078199638,2018-07-31T16:03:19.638,13.170,-0.000,0.000,-0.000
1533078199638,2018-07-31T16:03:19.638,13.170,-0.000,0.000,-0.000
1533078199638,2018-07-31T16:03:19.638,13.170,-0.000,0.000,-0.000
1533078199938,2018-07-31T16:03:19.938,13.470,-0.000,-0.000,-0.000
1533078199938,2018-07-31T16:03:19.938,13.470,-0.000,-0.000,-0.000
1533078199938,2018-07-31T16:03:19.938,13.470,-0.000,-0.000,-0.000
1533078200268,2018-07-31T16:03:20.268,13.800,-0.000,-0.000,-0.000
1533078200268,2018-07-31T16:03:20.268,13.800,-0.000,-0.000,-0.000
1533078200268,2018-07-31T16:03:20.268,13.800,-0.000,-0.000,-0.000
1533078200539,2018-07-31T16:03:20.539,14.071,-0.000,-0.000,-0.000
1533078200539,2018-07-31T16:03:20.539,14.071,-0.000,-0.000,-0.000
1533078200539,2018-07-31T16:03:20.539,14.071,-0.000,-0.000,-0.000
1533078200838,2018-07-31T16:03:20.838,14.370,-0.000,-0.000,-0.000
1533078200838,2018-07-31T16:03:20.838,14.370,0.000,-0.000,-0.000
1533078200838,2018-07-31T16:03:20.838,14.370,0.000,-0.000,-0.000
1533078201138,2018-07-31T16:03:21.138,14.670,0.000,-0.000,0.000
1533078201138,2018-07-31T16:03:21.138,14.670,0.000,-0.000,0.000
1533078201138,2018-07-31T16:03:21.138,14.670,-0.000,-0.000,0.000
1533078201438,2018-07-31T16:03:21.438,14.970,-0.000,-0.000,0.000
1533078201438,2018-07-31T16:03:21.438,14.970,-0.000,-0.000,0.000
1533078201438,2018-07-31T16:03:21.438,14.970,-0.000,-0.000,0.000
1533078201768,2018-07-31T16:03:21.768,15.300,-0.000,-0.000,0.000
1533078201768,2018-07-31T16:03:21.768,15.300,-0.000,-0.000,-0.000
1533078201768,2018-07-31T16:03:21.768,15.300,-0.000,-0.000,-0.000
1533078202038,2018-07-31T16:03:22.038,15.570,-0.000,-0.000,-0.000
1533078202038,2018-07-31T16:03:22.038,15.570,-0.000,-0.000,-0.000
1533078202038,2018-07-31T16:03:22.038,15.570,-0.000,-0.000,-0.000
1533078202338,2018-07-31T16:03:22.338,15.870,0.000,-0.000,-0.000
1533078202338,2018-07-31T16:03:22.338,15.870,-0.000,-0.000,-0.000
1533078202338,2018-07-31T16:03:22.338,15.870,-0.000,-0.000,-0.000
1533078202638,2018-07-31T16:03:22.638,16.170,-0.000,-0.000,-0.000
1533078202638,2018-07-31T16:03:22.638,16.170,-0.000,-0.000,-0.000
1533078202638,2018-07-31T16:03:22.638,16.170,-0.000,-0.000,-0.000
