epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1533078202488,2018-07-31T16:03:22.488,15.990,-0.455,-0.002,0.896
1533078202608,2018-07-31T16:03:22.608,16.110,-0.458,-0.004,0.896
1533078202608,2018-07-31T16:03:22.608,16.110,-0.460,-0.005,0.896
1533078202608,2018-07-31T16:03:22.608,16.110,-0.460,-0.005,0.896
1533078202728,2018-07-31T16:03:22.728,16.230,-0.459,-0.007,0.896
1533078202728,2018-07-31T16:03:22.728,16.230,-0.460,-0.007,0.894
1533078202728,2018-07-31T16:03:22.728,16.230,-0.460,-0.008,0.896
1533078202848,2018-07-31T16:03:22.848,16.350,-0.456,-0.009,0.894
1533078202848,2018-07-31T16:03:22.848,16.350,-0.457,-0.008,0.895
1533078202848,2018-07-31T16:03:22.848,16.350,-0.460,-0.008,0.896
